customer_tweet_id,support_tweet_id,customer_text,support_text,intent,proposal_confidence,expected_decision,status,reviewer_intent,reviewer_decision,review_notes
36626,36624,"@AppleSupport Hi there, my iPhone 6S plus can’t do backup for it, not by iCloud and iTunes , any way to fix it ,thanks https://t.co/XYyWJe7vn7",@123977 We'd love to help. What happens when you try back up via iTunes?,apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,auto_handle,
38885,38883,@AppleSupport I'm using iCloud etc all of your shit but I cannot restore my data after a simple clean refresh. It seems I'm stupid :/,@124484 Let us help. Follow up with us in DM. Tell us if the data is also missing from the iPhone 6 Activity App. https://t.co/GDrqU22YpT,apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,escalate,
90645,90644,"@AppleSupport I can't seem to use the payment option ""none"" on my account.  Any suggestions as to how I can resolve this without entering payment details? https://t.co/UCcccGbPQq","@135622 We can get to the bottom of this together. To begin, do you have any active subscriptions or memberships?",apple_id_icloud_account,0.54,escalate,approved,purchases_billing_subscriptions,escalate,
101298,101297,@AppleSupport is it possible to make an appointment for someone else? My sister is locked out of her account and her iPhone is dead so she can’t receive the code.,"@138174 We’d be happy to assist.  Just so we are on the same page, she is trying to receive her two-factor authentication to unlock her Apple ID, and you wanted to make an Apple Retail Store appointment?  Please respond in DM. https://t.co/GDrqU22YpT",apple_id_icloud_account,0.54,escalate,approved,apple_id_icloud_account,escalate,
105419,105418,@AppleSupport Hi there! How to restore my restriction password on my iPhone? It will be a great help!,@139286 We'd be happy to help you with your restrictions password. You can read how to set that up or change it here: https://t.co/eiyAtwvrU1,apple_id_icloud_account,0.54,escalate,approved,features_accessibility_other,auto_handle,
109036,109035,"@AppleSupport did iOS11 and/or High Sierra break iCloud Contact Sync, my contacts are not syncing between my devices #icloudcontactsync","@140200 Thanks for reaching out, we're happy to help! Which version of iOS are you using and when did you notice issues with iCloud contacts syncing? https://t.co/GDrqU22YpT",apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,auto_handle,
122309,122308,"@AppleSupport I never understood the size of my old backup, but thinking about it it might have grown buy several gigs after I activated iCloud Photo Library 🤔
This was the first after migrating phones. I can delete and re-create it, but I guess it will remain the same.",@143272 That's what we want to check.,apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,auto_handle,
122311,122310,"@AppleSupport Just noticed, my iTunes backup size grew from 10GB to 50GB while iCloud backup is still 6GB with my new phone. Does iTunes save photos from the phone in high resolution even with iCloud Photo Library enabled? Here it says it doesn’t. https://t.co/iZ6wglsK3O","@143272 No it doesn't, that article is correct.   Have you tried recreating the backup to see if the issue persists?",apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,auto_handle,
125795,125794,@AppleSupport I have credit on my account but I can't buy nothing because of billing information,@144227 We're happy to help and to point you in the right direction. Our iTunes Team can help you here with any billing inquiry: https://t.co/SDIe7UiyJN,apple_id_icloud_account,0.54,escalate,approved,purchases_billing_subscriptions,escalate,
148234,148232,@AppleSupport I keep having to retype my WiFi password like 5 times a day??? It should just be saved no? I’m confused as to why it keeps disconnecting,"@149725 Hey there. Let's figure out what's happening with that connection. Does the issue happen with one particular Wi-Fi connection, or others as well?",apple_id_icloud_account,0.54,escalate,approved,connectivity_network,auto_handle,
152916,152915,.@AppleSupport So I can use the Python call os.utimes() to modify file timestamps anywhere EXCEPT files in my iCloud Drive Folder :-(,@150977 We'd like to know more. DM us the details and we'll go from there. https://t.co/GDrqU22YpT,apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,escalate,
154443,154442,"@applesupport nothing but woes since installing 10.13.1: network not recognized, Gmail doesn't load sometimes, network disconnect, re-entering password repeatedly, etc. How can you lunch since a bugged up OS?","@151392 We’d love to help with your Mac. To start, let’s have you run Wireless Diagnostics, outlined by our guide: https://t.co/b6uvkX3ylN Please send us a DM letting us know the results when completed. https://t.co/GDrqU22YpT",apple_id_icloud_account,0.54,escalate,approved,connectivity_network,escalate,
177846,177845,"@AppleSupport My iPhone won't backup to iCloud whenever I plug in. I've been trying all week and nothing will work. When I go to settings and click back up now, it never finishes. Would resetting all the settings fix things?",@157891 It's possible this could help but let's consider a few things before trying that. Does this happen with all networks or one network in particular? We ask to see if this is related to the network. Do you have a Mac or PC with iTunes for an iTunes backup?,apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,escalate,
188363,188361,@AppleSupport I’ve checked iCloud storage on web Mac and iPhone. They all say I have 10gig free left to use but photos on Mac says if ran out and won’t sync new photos across from my phone. Not tried much. Apart from deleting what was in the deleted folder. Made no difference to space.,@160199 Got it. Can you tell us which steps you've tried so far? This way we won't have you do any steps over again.,apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,escalate,
188499,188498,@AppleSupport How can fix “Payment Delined” issue? I already made a new account but i  think that the old one is still saved somewhere. https://t.co/nuJo1ZS45o,"@160239 Hi. We're glad to help. Check out this article: https://t.co/U96y4MTG7k  
Let us know if this helps.",apple_id_icloud_account,0.54,escalate,approved,purchases_billing_subscriptions,auto_handle,
256743,256742,@AppleSupport got a call from 18333325233 about Icloud I am assuming it is a scam since I don't have any of your products.,@177054 We're happy to help. We have an article here that can explain potential phishing attempts: https://t.co/UmPh98sRKr,apple_id_icloud_account,0.54,escalate,approved,features_accessibility_other,auto_handle,
257732,257730,@AppleSupport Being told my iCloud storage may be downgraded but card payment processing is temporarily down and I can’t re-confirm my card.,@177309 You’ve come to the right place! We have a team of iTunes Store experts who you can reach out to here: https://t.co/SDIe7UiyJN,apple_id_icloud_account,0.54,escalate,approved,purchases_billing_subscriptions,escalate,
294368,294370,@AppleSupport Because I have iCloud library on it won't sync to my phone,@186102 Are you in the US? Please reply in DM. https://t.co/GDrqU22YpT,apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,escalate,
296803,296802,@AppleSupport I’m unable to sync my notes from one of my Macs to iPad or other Mac. Is iCloud down?? Tried various different things.,"@186703 iCloud is up and running: https://t.co/7NVrDovSd8
Tell us what happens when you try to sync Notes, and we’ll help out.",apple_id_icloud_account,0.54,escalate,approved,sync_setup_data,escalate,
309275,309277,@AppleSupport restart does not help. If I try on cellular I get an error “verification failed. There was a problem connecting to the server” https://t.co/ahjiblDUNg,@188890 Let's take a look into this together. Send us a DM to get started. https://t.co/GDrqU22YpT,apple_id_icloud_account,0.54,escalate,approved,connectivity_network,escalate,
4879,4878,@AppleSupport I can’t download songs. Progress icon keeps spinning. On both data + WiFi. Stream works though. Can’t add songs to playlists. https://t.co/x7uUxSqO9u,@116855 We want to help. Does restarting help at all? DM us which iOS version you're on and we'll continue support there. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,apps_media,auto_handle,
6657,6656,@AppleSupport My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.,@117177 You won't be able to revert the system to pre-iOS 11 but we can look into the issues. DM us and we'll get started. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,ios_update_software,escalate,
23084,23083,@AppleSupport I have tried it on different WiFi and cell data. It seems to not work. Then quite some time after I have tired to download it will pop up multiple times to allow it to download then later it downloads out of no where. So it’s strange.,@121028 We definitely understand where you're coming from. Let's take a deeper look into this. Send us a DM and we'll get started. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,apps_media,escalate,
34581,34582,"@AppleSupport Basically for a chat to be opened from call log, the message app should be opened/running in background. Otherwise, it takes twice.",@123491 We'd like to take a closer look at what's happening. Send us a DM and we'll meet up with you there. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,apps_media,escalate,
35262,35260,"@AppleSupport I got refunded for an in app purchase on Monday &amp; got a conformation email, but there’s no sign of it in my account yet...","@123684 Hey there! Depending on your bank, it can take 3-5 business days to reflect in your account. We hope this helps.",apps_media,0.54,escalate,approved,purchases_billing_subscriptions,auto_handle,
35979,38205,@AppleSupport You guys over charged me on music I bought on iTunes and I want my money back I’m mad as hell,@123826 We want to help. You can reach our iTunes support team here: https://t.co/SDIe7UiyJN,apps_media,0.54,escalate,approved,purchases_billing_subscriptions,escalate,
38227,38226,"@1756 @115858 Mine is shite mate....crashing, turning itself off, apps randomly freezing, won’t let me call anyone @115858 @AppleSupport",@124304 We'd like to look into this with you. When did these issues begin? Tell us in a DM. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,apps_media,escalate,
48044,48042,"@AppleSupport Hi, I've just reset my phone and restored from icloud but none of my apps are downloading.",@126743 We are here to help you get your apps back. Are you connected to Wi-Fi? Did other things such as your Messages come back?,apps_media,0.54,escalate,approved,apps_media,auto_handle,
53538,53537,"@AppleSupport Major security breach on iCloud evident - any issues reported? Sign-in and got other people’s information, books, music etc etc",@128097 We'd like to look into this with you. Let's continue in DM. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,apps_media,escalate,
55970,55972,@AppleSupport 11.1 which has been causing many glitches on my phone between apps/internet connection &amp; keyboard,@128698 Thanks for that info. Reach out to us in DM and we will happily help to look into this further. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,ios_update_software,escalate,
58272,58271,@AppleSupport I’m having trouble setting up my iCloud Music Library on my iPhone 7+. It’s been saying “temporarily unavailable” all day. Can you help?,@129233 We've got you. Is this still happening after restarting and trying with different Wi-Fi networks? Let's also get your iOS version. That'll help us get started.,apps_media,0.54,escalate,approved,sync_setup_data,escalate,
90647,90646,@AppleSupport Hello! Do you guys know if it is possible to store the Photos app library in a NAS? I don’t need to sync iCloud. Thank you!,"@135623 Hey, we can get you pointed in the right direction for questions regarding Photos. Please reach out to our Photos experts using this link: https://t.co/IBIY3vMgPj They'll help you out.",apps_media,0.54,escalate,approved,apps_media,escalate,
92872,92871,@AppleSupport @136106 I paid full price to use your app and now it’s not working?,@136105 We'd like to look into this with you. Please DM us more about what's happening. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,apps_media,escalate,
98857,98856,"@AppleSupport it's doing it again. So I run my Watch 3 workout app, pick the HIIT workout. Do a 30 minute Nike Training Club workout. The numbers don't add up. Is there anyway I can delete the data from the app? Do I need to disable it in the Watch app? https://t.co/9Uoznn55VW",@137639 Good to know. Please clarify for us in DM which data you want to remove from the app to continue. https://t.co/GDrqU22YpT,apps_media,0.54,escalate,approved,apps_media,escalate,
